UY,UZ,Wx,Wy,Wz,,Wmag
14193.53201,-89484.93203,1.966923527,-12.03370011,-0.975272995,,12.23232946
14649.88711,-89439.83047,2.006679945,-12.27166219,-0.931531703,,12.46949111
15103.94293,-89380.69143,2.04664766,-12.51076712,-0.884810826,,12.70790899
15555.62962,-89307.53251,2.086817965,-12.7509645,-0.835030032,,12.94755498
16004.87681,-89220.36802,2.127182089,-12.99220367,-0.782107189,,13.18840216
16451.61357,-89119.20897,2.167731173,-13.23443383,-0.725958273,,13.43042489
16895.76831,-89004.06308,2.208456308,-13.47760405,-0.666497266,,13.67359897
17337.26874,-88874.93477,2.249348544,-13.7216633,-0.603636079,,13.91790175
17776.04176,-88731.82521,2.290398851,-13.96656049,-0.537284438,,14.16331223
18212.0134,-88574.73227,2.331598163,-14.21224452,-0.467349775,,14.40981124
18645.10876,-88403.65054,2.372937404,-14.45866431,-0.393737132,,14.65738157
19075.25188,-88218.57131,2.41440741,-14.70576887,-0.316349022,,14.90600811
19502.36572,-88019.48256,2.455999061,-14.95350735,-0.235085316,,15.1556781
19926.37205,-87806.36894,2.49770315,-15.20182906,-0.149843102,,15.40638117
20347.19135,-87579.21175,2.539510518,-15.45068358,-0.060516553,,15.65810969
20764.74273,-87337.9889,2.581411988,-15.70002081,0.033003231,,15.91085889
21178.94385,-87082.6749,2.623398386,-15.949791,0.130828371,,16.16462706
21589.71082,-86813.24079,2.665460572,-16.19994489,0.233074384,,16.41941589
21996.95811,-86529.65414,2.70758944,-16.45043376,0.339860354,,16.67523063
22400.59842,-86231.87897,2.749775924,-16.7012095,0.45130913,,16.93208039
22800.54258,-85919.87572,2.792011045,-16.95222474,0.567547508,,17.18997846
23196.69948,-85593.60117,2.834285848,-17.20343294,0.688706456,,17.4489426
23588.97591,-85253.00841,2.876591541,-17.45478848,0.814921338,,17.70899536
23977.27645,-84898.04675,2.918919384,-17.70624683,0.946332144,,17.97016449
24361.50334,-84528.66164,2.961260796,-17.95776463,1.083083756,,18.23248328
24741.55636,-84144.79461,3.00360734,-18.20929987,1.225326205,,18.495991
25117.33268,-83746.38318,3.045950763,-18.46081203,1.373214971,,18.76073336
25488.72672,-83333.36075,3.088282987,-18.71226224,1.526911288,,19.02676294
25855.62997,-82905.65653,3.130596198,-18.96361349,1.686582468,,19.29413977
26217.93085,-82463.19541,3.172882788,-19.2148308,1.852402255,,19.56293183
26575.51455,-82005.89784,3.215135492,-19.46588146,2.02455119,,19.83321569
26928.26279,-81533.67974,3.25734733,-19.71673525,2.203217033,,20.10507712
27276.0537,-81046.45232,3.299511701,-19.96736475,2.388595166,,20.37861181
27618.76155,-80544.12199,3.341622397,-20.21774552,2.580889065,,20.65392608
27956.25657,-80026.59017,3.383673668,-20.46785654,2.780310797,,20.93113774
28288.40468,-79493.75316,3.425660282,-20.71768043,2.987081531,,21.21037687
28615.06731,-78945.50193,3.467577532,-20.96720392,3.201432124,,21.49178685
28936.10104,-78381.72196,3.509421349,-21.21641822,3.423603719,,21.77552531
29251.35741,-77802.29308,3.55118835,-21.46531944,3.6538484,,22.06176524
29560.68256,-77207.08916,3.592875913,-21.71390914,3.892429909,,22.35069614
29863.91691,-76595.978,3.63448225,-21.96219485,4.139624393,,22.64252534
30160.89485,-75968.82101,3.676006511,-22.21019066,4.39572124,,22.93747933
30451.44435,-75325.47299,3.717448875,-22.45791792,4.661023958,,23.2358053
30735.38653,-74665.78186,3.758810669,-22.70540591,4.93585114,,23.53777266
31012.53529,-73989.58834,3.800094485,-22.95269275,5.220537499,,23.84367493
31282.69681,-73296.72565,3.841304302,-23.19982618,5.515435001,,24.15383151
31545.66905,-72587.0192,3.882445663,-23.44686468,5.82091409,,24.46858983
31801.24124,-71860.28619,3.923525818,-23.69387848,6.137365004,,24.78832752
32049.19326,-71116.33525,3.964553945,-23.94095086,6.46519924,,25.11345491
32289.29504,-70354.96603,4.005541295,-24.18817949,6.804851115,,25.4444176
32521.30588,-69575.96872,4.046501495,-24.43567801,7.156779492,,25.78169946
32744.97367,-68779.12364,4.087450765,-24.68357769,7.521469656,,26.12582567
32960.03412,-67964.20065,4.128408223,-24.93202941,7.899435358,,26.47736626
33166.20986,-67130.95867,4.169396214,-25.18120584,8.291221078,,26.83693983
33363.20947,-66279.14505,4.210440665,-25.43130378,8.697404485,,27.20521765
33550.72647,-65408.49491,4.251571529,-25.68254702,9.118599139,,27.58292827
33728.43808,-64518.7305,4.292823218,-25.93518936,9.555457482,,27.97086245
33896.00406,-63609.56044,4.334235176,-26.18951816,10.00867412,,28.36987863
34053.06523,-62680.67886,4.375852451,-26.44585829,10.47898945,,28.78090904
34199.24196,-61731.7646,4.41772639,-26.70457666,10.96719368,,29.20496633
34334.13251,-60762.48022,4.459915422,-26.96608742,11.47413123,,29.64315104
34457.31106,-59772.47099,4.502485976,-27.23085776,12.00070573,,30.09665982
34568.32573,-58761.36376,4.545513459,-27.49941476,12.54788545,,30.56679463
34666.69617,-57728.76574,4.589083508,-27.77235305,13.11670938,,31.05497297
34751.91103,-56674.2632,4.633293256,-28.05034383,13.70829413,,31.56273948
34823.42502,-55597.42,4.678253025,-28.33414515,14.32384147,,32.09177881
34880.65569,-54497.77602,4.724088028,-28.62461392,14.96464685,,32.6439303
34922.97978,-53374.84542,4.770940579,-28.92271978,15.63210907,,33.22120449
34949.72907,-52228.11479,4.818972565,-29.2295615,16.32774094,,33.82580208
