SatVenus.ElapsedSecs,SatVenus.ElapsedDays,SatVenus.VenusMJ2000Eq.X,SatVenus.VenusMJ2000Eq.Y,SatVenus.VenusMJ2000Eq.Z,SatVenus.VenusMJ2000Eq.VX,SatVenus.VenusMJ2000Eq.VY,SatVenus.VenusMJ2000Eq.VZ,SatVenus.Venus.VelApoapsis,SatVenus.Venus.VelPeriapsis,SatVenus.Venus.RadPer,SatVenus.Venus.SMA,SatVenus.Venus.ECC,SatVenus.VenusMJ2000Eq.INC,SatVenus.VenusMJ2000Eq.RAAN,SatVenus.VenusMJ2000Eq.AOP,SatVenus.Venus.OrbitPeriod,SatVenus.Venus.TA
72186.28072,0.83548936,-3677.335835,23786.32451,-84841.68637,-0.099904895,0.6462262,0.596654225,0.771703749,8.531360199,8186.157153,49342.99175,0.834096862,90.00001683,98.78822126,99.98688884,120828.9223,185.8513226
74886.28072,0.86673936,-3940.487828,25488.50307,-83083.30814,-0.094931409,0.614057502,0.706213249,0.771691242,8.531492338,8185.925095,49343.02722,0.834101685,90.00002182,98.78820445,99.98665745,120829.0526,187.259096
77586.28072,0.89798936,-4189.441845,27098.84793,-81025.87003,-0.089375534,0.57812141,0.818291314,0.77168017,8.531598794,8185.739026,49343.11951,0.834105766,90.00002627,98.7881907,99.98642245,120829.3916,188.7104259
80286.28072,0.92923936,-4422.516529,28606.48265,-78661.63068,-0.083153103,0.537873474,0.933600002,0.771670524,8.53167952,8185.599033,49343.26939,0.834109107,90.00002997,98.7881802,99.98617654,120829.9421,190.2166951
82986.28072,0.96048936,-4637.772156,29998.8595,-75980.78959,-0.076155781,0.492612908,1.052958407,0.771662273,8.531734828,8185.504565,49343.47715,0.83411172,90.00003268,98.78817309,99.98591259,120830.7052,191.7913899
85686.28072,0.99173936,-4832.93506,31261.27055,-72971.14858,-0.068242905,0.441429807,1.177330717,0.771655355,8.531765417,8185.454392,49343.7426,0.834113629,90.00003419,98.78816945,99.98562384,120831.6803,193.4508789
88386.28072,1.02298936,-5005.295131,32376.18473,-69617.6548,-0.059229408,0.383127067,1.307877285,0.771649684,8.53177239,8185.446557,49344.06489,0.834114871,90.00003427,98.78816925,99.98530409,120832.8641,195.2155199
91086.28072,1.05423936,-5151.562993,33322.32393,-65901.78024,-0.04886752,0.316101969,1.446026007,0.771645146,8.531757293,8185.478317,49344.44243,0.834115497,90.00003272,98.78817239,99.98494801,120834.2509,197.1112889
93786.28072,1.08548936,-5267.664999,34073.33702,-61800.66961,-0.036818112,0.238160878,1.593574873,0.771641597,8.531722147,8185.546082,49344.87266,0.83411557,90.00002936,98.78817867,99.98455151,120835.8312,199.1722598
96486.28072,1.11673936,-5348.439009,34595.83198,-57285.95028,-0.022604157,0.14621816,1.752843476,0.771638867,8.53166949,8185.645334,49345.35175,0.834115169,90.00002404,98.78818775,99.98411216,120837.591,201.4445348
